,users,text,favorite_count,retweet_count,created_at
97,VancityReynolds,Tonight. @maximumeffort @WalkingDead_AMC https://t.co/gvUjshdoVG,15290,1149,2022-11-20 21:19:46+00:00
98,VancityReynolds,@senstalk_ @pasekandpaul Paul Mullin.,169,6,2022-11-19 20:33:26+00:00
99,VancityReynolds,"Thank you, #WillFerrell, @TheJeffBridges, @MarySteenburgen, @RMcElhenney, @NathanFillion, @JustinTrudeau, @OctaviaSpencer, @SlevyDirect, @missmorenab, @SalmaHayek, @RealHughJackman, #HelenMirren, @StevenPage, @MaximumEffort and my unbelievable wife, @blakelively",2074,66,2022-11-19 19:55:01+00:00
100,VancityReynolds,"Thank you @AM_CinemaTheque for this incredible honour. Thank you to my friends and family who turned me into a heaving, weeping mess of laughter, nostalgia and joy. It felt like I got front row seats at my own funeral but without all the inconvenient death. https://t.co/Syn4N2ofk0",6425,249,2022-11-19 19:55:00+00:00
101,VancityReynolds,"Good Afternoon, Twitter. 

cc: @pasekandpaul",15472,347,2022-11-19 17:47:49+00:00
102,VancityReynolds,@MaryJeanCBC @CBCThunderBay Please check your DM’s,3529,35,2022-11-19 15:53:49+00:00
103,VancityReynolds,StumbleUpon a little movie called #Spirited today! Call your Friendsters! Tell ‘em through the grape-Vine. Yik Yak to anyone who’ll listen. I even tumblrd about it. Hope you Digg it.,11642,541,2022-11-19 01:55:52+00:00
104,VancityReynolds,"@MakeAWish_NB Loved meeting, Ryan and his family. It was a perfect day in New York. ⚔️",2634,30,2022-11-16 18:32:54+00:00
105,VancityReynolds,"Dr. Gin, Medicine Woman. @AviationGin https://t.co/8tKRqaeNEY",6157,444,2022-11-16 15:10:41+00:00
106,VancityReynolds,"@MaxineERHughes @RMcElhenney Thank you, Maxine! ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️",476,13,2022-11-16 06:01:00+00:00
107,VancityReynolds,Did I do this right? https://t.co/GpPUaCrRlV https://t.co/xG8zrtOjHe,17098,1044,2022-11-15 17:52:27+00:00
108,VancityReynolds,"If we learned anything from Welcome to Wrexham viewers, it’s that nothing can go wrong with subtitling. Introducing the @Wrexham_AFC “Subtitle Collection” from @vistaprint. https://t.co/SoNRcV3emr",4401,282,2022-11-15 15:04:11+00:00
109,VancityReynolds,@MaximumEffort @Williesillie2 @AppleTVPlus 💀⌛️ 💀,2182,35,2022-11-14 21:49:05+00:00
110,VancityReynolds,I believe this might be called re-gifting? https://t.co/EzuuAjRMkP,3966,177,2022-11-14 14:08:25+00:00
111,VancityReynolds,Congratulations @WrexhamFX and the entire team behind #WelcomeToWrexham! 🏆 @RMcElhenney @MaximumEffort https://t.co/xgaG8vShdj,6936,349,2022-11-14 01:05:16+00:00
112,VancityReynolds,@TheE_Butler @RMcElhenney @Wrexham_AFC Yes.,198,4,2022-11-11 23:34:18+00:00
113,VancityReynolds,@FlockFreight Understanding how to quantify a “fuckload” within the context of shipping is a critical piece of child development,276,18,2022-11-10 15:15:36+00:00
114,VancityReynolds,"@RaychullBe @Wrexham_AFC @danAndrews0 @RobRyanRed @fearlessidzine @RMcElhenney Our away support never fails to amaze me. Thank you, Rachel! ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️",720,12,2022-11-09 17:45:25+00:00
115,VancityReynolds,🎶All the world is waiting for you 🎶 https://t.co/zV9nhlIbNa,6370,305,2022-11-09 17:01:35+00:00
116,VancityReynolds,@LalimesMartian Amen.,757,36,2022-11-09 04:07:17+00:00
117,VancityReynolds,@savage_zquad @RMcElhenney That very subject is tackled in this very episode. 💥,507,12,2022-11-07 23:17:55+00:00
118,VancityReynolds,I love this man. ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️ https://t.co/fOo6uscI3h,6914,289,2022-11-07 23:01:55+00:00
119,VancityReynolds,*I'm legally obligated to post this. #Spirited on @AppleTVPlus https://t.co/cN63ksDgvw,14298,1151,2022-11-07 15:03:42+00:00
120,VancityReynolds,@benisabear @Wrexham_AFC @RMcElhenney @wrexham ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️,402,5,2022-11-06 20:46:53+00:00
121,VancityReynolds,"@m_griffiths92 Brilliant job today, @m_griffiths92 “and crew”. 😂⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️ #askwxm",687,20,2022-11-06 14:20:19+00:00
122,VancityReynolds,@StuntmanStu @brian5or6 My Internet Explorer has been frozen for months.,221,5,2022-11-06 01:38:17+00:00
123,VancityReynolds,Wow. @LAFC. Incredible. ⚽️,10041,525,2022-11-05 23:04:23+00:00
124,VancityReynolds,Can’t wait for @Wrexham_AFC’s  FA Cup match. See ya tomorrow Frank! https://t.co/cuYAyhGXwc,13027,827,2022-11-05 16:01:55+00:00
125,VancityReynolds,"@mikesbloggity @Kevin__Parent He must be neutralized. If he takes Halifax, Dartmouth could be next.",945,15,2022-11-04 12:33:08+00:00
126,VancityReynolds,"@RealHughJackman @ShawnLevyDirect That’s my Kia Sorento, you dick.",19828,594,2022-11-04 12:18:40+00:00
127,VancityReynolds,@PrifWeinidog @RMcElhenney 🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,1377,41,2022-11-03 22:48:53+00:00
128,VancityReynolds,We’re gonna need a bigger bottle. https://t.co/B5QuwUscCN,14134,543,2022-11-03 21:03:57+00:00
129,VancityReynolds,Move over MTV Best Kiss Award! ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️ (Diolch!!!) https://t.co/X6IiTkVy9n,3035,175,2022-11-03 18:10:16+00:00
130,VancityReynolds,👇👇👇 https://t.co/kzd1Eq9BOI,2783,135,2022-11-03 10:48:37+00:00
131,VancityReynolds,Amazing what a year’s worth of tap dance classes can do. If only Will and I took them. #Spirited on @AppleTVPlus https://t.co/ccuQkbZLyt,12305,1137,2022-11-02 12:42:14+00:00
132,VancityReynolds,@sensfan81 🤔,1659,164,2022-11-01 23:49:22+00:00
133,VancityReynolds,The rumors stop here. Will and I did NOT lip sync our dancing in Spirited. Tomorrow’s trailer will settle it. https://t.co/j9O1SCEH7f,24700,2005,2022-11-01 16:41:34+00:00
134,VancityReynolds,@CFL @BCLions Obsessed.,187,5,2022-11-01 01:59:52+00:00
135,VancityReynolds,@denisleary @realmikefox @iamsambee @JimGaffigan @TheLewisBlack @BradPaisley @stevenpage @WillieGeist @MichaelJFoxOrg .@denisleary always brings it for @MichaelJFoxOrg. Every time. Love this guy.,613,19,2022-10-31 17:28:02+00:00
136,VancityReynolds,"@dyllyp Welcome to the jungle, baby.",5000,48,2022-10-27 20:46:24+00:00
137,VancityReynolds,@united @1Password Damnit!!!!,101,4,2022-10-26 19:27:19+00:00
138,VancityReynolds,"@LauraJaneGrace @Mintmobile Amazing!!!!! I know they’ll be happy. And no sense paying 100 bucks a month when you can pay 15 for the same thing — holy shit, I’m doing it again.",1821,15,2022-10-26 17:23:07+00:00
139,VancityReynolds,"@m_griffiths92 After he’s done with mine, I’ll have his head for this.",459,3,2022-10-26 17:19:49+00:00
140,VancityReynolds,THE ADAM PROJECT has several @peopleschoice nominations! You can vote here ⬇️ https://t.co/6F4jGaUUo6 (and you're able to vote daily). #TheAdamProject https://t.co/Yuoo9ZN3mT,6584,367,2022-10-26 17:18:24+00:00
